station_code,station,line_name,C/A,unit,datetime
G011R312,W 8 ST-AQUARIUM,FQ,G011,R312,2850
G015R312,W 8 ST-AQUARIUM,FQ,G015,R312,2850
H001R175,8 AV,ACEL,H001,R175,2854
H003R163,6 AV,FLM123,H003,R163,2850
H005R330,3 AV,L,H005,R330,2850
H006R330,3 AV,L,H006,R330,2850
H007AR248,1 AV,L,H007A,R248,2850
H007R248,1 AV,L,H007,R248,1685
H008R248,1 AV,L,H008,R248,81
H009R235,BEDFORD AV,L,H009,R235,2850
H012R268,LORIMER ST,LG,H012,R268,2854
H013R249,GRAHAM AV,L,H013,R249,2850
H014R249,GRAHAM AV,L,H014,R249,2850
H015R250,GRAND ST,L,H015,R250,2850
H016R250,GRAND ST,L,H016,R250,2850
H017R265,MONTROSE AV,L,H017,R265,2850
H019R294,MORGAN AV,L,H019,R294,2850
H022R279,JEFFERSON ST,L,H022,R279,2850
H023R236,DEKALB AV,L,H023,R236,2850
H026R137,MYRTLE-WYCKOFF,LM,H026,R137,2850
H027R137,MYRTLE-WYCKOFF,LM,H027,R137,2850
H028R266,HALSEY ST,L,H028,R266,2850
H030R266,HALSEY ST,L,H030,R266,2850
H032R295,WILSON AV,L,H032,R295,2850
H033R313,BUSHWICK AV,L,H033,R313,2850
H035R348,ATLANTIC AV,L,H035,R348,2850
H037R349,SUTTER AV,L,H037,R349,2854
H038R350,LIVONIA AV,L,H038,R350,2854
H039R375,NEW LOTS,L,H039,R375,2854
H040R376,EAST 105 ST,L,H040,R376,2854
H041R152,CANARSIE-ROCKAW,L,H041,R152,2854
J001R460,MARCY AV,JMZ,J001,R460,2854
J002R460,MARCY AV,JMZ,J002,R460,2854
J003R352,HEWES ST,JM,J003,R352,2854
J005R353,LORIMER ST,JM,J005,R353,2854
J007R377,FLUSHING AV,JM,J007,R377,2854
J009R378,MYRTLE AV,JMZ,J009,R378,2854
J012R379,KOSCIUSZKO ST,J,J012,R379,2854
J013R380,GATES AV,JZ,J013,R380,2854
J016R381,HALSEY ST,J,J016,R381,2854
J017R432,CHAUNCEY ST,JZ,J017,R432,2854
J020R433,ALABAMA AV,J,J020,R433,2854
J021R434,VAN SICLEN AV,JZ,J021,R434,2854
J022R435,CLEVELAND ST,J,J022,R435,2854
J023R436,NORWOOD AV,JZ,J023,R436,2854
J024R437,CRESCENT ST,JZ,J024,R437,2854
J025R003,CYPRESS HILLS,J,J025,R003,2850
J028R004,75 ST-ELDERTS,JZ,J028,R004,2850
J030R005,85 ST-FOREST PK,J,J030,R005,2850
J031R006,WOODHAVEN BLVD,JZ,J031,R006,2850
J032R006,WOODHAVEN BLVD,JZ,J032,R006,2850
J034R007,104 ST,JZ,J034,R007,2850
J035R008,111 ST,J,J035,R008,2850
J037R009,121 ST,JZ,J037,R009,2850
JFK01R535,HOWARD BCH JFK,A,JFK01,R535,2854
JFK02R535,HOWARD BCH JFK,A,JFK02,R535,2854
JFK03R536,JFK JAMAICA CT1,E,JFK03,R536,2854
K017R401,CENTRAL AV,M,K017,R401,2854
K019R413,KNICKERBOCKER,M,K019,R413,2854
K022R402,SENECA AVE,M,K022,R402,2854
K024R403,FOREST AVE,M,K024,R403,2854
K025R404,FRESH POND RD,M,K025,R404,2854
K026R100,METROPOLITAN AV,M,K026,R100,2850
N001R173,INWOOD-207 ST,A,N001,R173,2854
N002AR173,INWOOD-207 ST,A,N002A,R173,2854
N003R185,DYCKMAN ST,A,N003,R185,2854
N006AR280,190 ST,A,N006A,R280,2850
N007AR174,181 ST,A,N007A,R174,2854
N009R174,181 ST,A,N009,R174,2854
N010R126,175 ST,A,N010,R126,2850
N011R126,175 ST,A,N011,R126,2850
N012R035,168 ST,AC1,N012,R035,2850
N013R035,168 ST,AC1,N013,R035,2850
N016AR296,163 ST-AMSTERDM,C,N016A,R296,2854
N017R331,155 ST,C,N017,R331,2854
N019R101,145 ST,ABCD,N019,R101,2850
N020R101,145 ST,ABCD,N020,R101,2850
N022R332,135 ST,BC,N022,R332,2854
N023R332,135 ST,BC,N023,R332,2854
N024R332,135 ST,BC,N024,R332,2854
N025R102,125 ST,ACBD,N025,R102,2850
N026R102,125 ST,ACBD,N026,R102,2850
N029R333,116 ST,BC,N029,R333,2854
N030R333,116 ST,BC,N030,R333,2854
N034R334,CATHEDRAL PKWY,BC,N034,R334,2854
N035R334,CATHEDRAL PKWY,BC,N035,R334,2854
N037R314,103 ST,BC,N037,R314,2854
N039R251,96 ST,BC,N039,R251,2850
N040R251,96 ST,BC,N040,R251,2850
N043R186,86 ST,BC,N043,R186,2850
N044R187,81 ST-MUSEUM,BC,N044,R187,2854
N045R187,81 ST-MUSEUM,BC,N045,R187,2854
N046R281,72 ST,BC,N046,R281,2850
N049R084,59 ST COLUMBUS,ABCD1,N049,R084,2850
N051R084,59 ST COLUMBUS,ABCD1,N051,R084,2850
N056R188,50 ST,CE,N056,R188,2850
N057R188,50 ST,CE,N057,R188,2850
N060R010,42 ST-PORT AUTH,ACENGRS1237W,N060,R010,2854
N062AR010,42 ST-PORT AUTH,ACENQRS1237W,N062A,R010,2854
N062R011,42 ST-PORT AUTH,ACENQRS1237W,N062,R011,2850
N063AR011,42 ST-PORT AUTH,ACENQRS1237W,N063A,R011,2850
N063R011,42 ST-PORT AUTH,ACENQRS1237W,N063,R011,2850
N067R012,34 ST-PENN STA,ACE,N067,R012,2850
N068R012,34 ST-PENN STA,ACE,N068,R012,2850
N069R013,34 ST-PENN STA,ACE,N069,R013,2850
N070R012,34 ST-PENN STA,ACE,N070,R012,2850
N071R013,34 ST-PENN STA,ACE,N071,R013,2850
N072R012,34 ST-PENN STA,ACE,N072,R012,2850
N073R013,34 ST-PENN STA,ACE,N073,R013,2850
N075R111,23 ST,CE,N075,R111,2850
N076R111,23 ST,CE,N076,R111,2850
N077R111,23 ST,CE,N077,R111,2850
N078R175,14 ST,ACEL,N078,R175,2854
N080R138,W 4 ST-WASH SQ,ABCDEFM,N080,R138,2854
N083R138,W 4 ST-WASH SQ,ABCDEFM,N083,R138,2854
N086R282,SPRING ST,CE,N086,R282,2850
N087R282,SPRING ST,CE,N087,R282,2850
N089R139,CANAL ST,ACE,N089,R139,2850
N090R139,CANAL ST,ACE,N090,R139,2850
N091R029,CHAMBERS ST,ACE23,N091,R029,2850
N092R029,CHAMBERS ST,ACE23,N092,R029,2850
N094R029,WORLD TRADE CTR,ACE23,N094,R029,2850
N095AR014,FULTON ST,2345ACJZ,N095A,R014,2854
N095R014,FULTON ST,ACJZ2345,N095,R014,2854
N098R028,FULTON ST,2345ACJZ,N098,R028,2854
N100R252,HIGH ST,AC,N100,R252,2850
N101R252,HIGH ST,AC,N101,R252,2850
N102R127,JAY ST-METROTEC,ACF,N102,R127,2850
N103R127,JAY ST-METROTEC,ACF,N103,R127,2850
N108R217,HOYT-SCHER,ACG,N108,R217,2850
N110R283,LAFAYETTE AV,C,N110,R283,2854
N111R284,CLINTON-WASH AV,C,N111,R284,2850
N112AR284,CLINTON-WASH AV,C,N112A,R284,2850
N113R297,FRANKLIN AV,ACS,N113,R297,2854
N114R297,FRANKLIN AV,ACS,N114,R297,2854
N116R198,NOSTRAND AV,AC,N116,R198,2850
N117R198,NOSTRAND AV,AC,N117,R198,2850
N118R199,KINGSTON-THROOP,C,N118,R199,2850
N119R199,KINGSTON-THROOP,C,N119,R199,2850
N120AR153,UTICA AV,AC,N120A,R153,2854
N120R153,UTICA AV,AC,N120,R153,2854
N121BR438,RALPH AV,C,N121B,R438,2854
N122R439,ROCKAWAY AV,C,N122,R439,2854
N123BR439,ROCKAWAY AV,C,N123B,R439,2854
N124R103,BROADWAY JCT,ACJLZ,N124,R103,2850
N125R440,LIBERTY AV,C,N125,R440,2854
N126R441,VAN SICLEN AVE,C,N126,R441,2854
N127R442,SHEPHERD AV,C,N127,R442,2854
N128R200,EUCLID AV,AC,N128,R200,2850
N129R382,GRANT AV,A,N129,R382,2850
N130R383,80 ST,A,N130,R383,2854
N131R383,80 ST,A,N131,R383,2854
N133R384,88 ST,A,N133,R384,2854
N134R385,ROCKAWAY BLVD,A,N134,R385,2854
N135R385,ROCKAWAY BLVD,A,N135,R385,2854
N137R354,104 ST,A,N137,R354,2850
N138R355,111 ST,A,N138,R355,2854
N139R355,111 ST,A,N139,R355,2854
N141R356,OZONE PK LEFFRT,A,N141,R356,2850
N181AR464,AQUEDUCT RACETR,A,N181A,R464,2850
N181R357,AQUEDUCT N.COND,A,N181,R357,2854
N182R414,HOWARD BCH JFK,A,N182,R414,2850
N183R415,BROAD CHANNEL,AS,N183,R415,2854
N184R416,BEACH 90 ST,AS,N184,R416,2854
N185R417,BEACH 98 ST,AS,N185,R417,2854
N186R418,BEACH 105 ST,AS,N186,R418,2854
N187R419,ROCKAWAY PARK B,AS,N187,R419,2854
N191R335,BEACH 67 ST,A,N191,R335,2850
N192R336,BEACH 60 ST,A,N192,R336,2850
N193R337,BEACH 44 ST,A,N193,R337,2850
N194R338,BEACH 36 ST,A,N194,R338,2850
N195R358,BEACH 25 ST,A,N195,R358,2850
N196R285,FAR ROCKAWAY,A,N196,R285,2850
N202R315,155 ST,BD,N202,R315,2854
N203R195,161/YANKEE STAD,BD4,N203,R195,2850
N205R195,161/YANKEE STAD,BD4,N205,R195,2850
N206R104,167 ST,BD,N206,R104,2850
N207R104,167 ST,BD,N207,R104,2850
N208R443,170 ST,BD,N208,R443,2854
N209R443,170 ST,BD,N209,R443,2854
N210R253,174-175 STS,BD,N210,R253,2850
N212R253,174-175 STS,BD,N212,R253,2850
