station_code,station,line_name,C/A,unit,datetime
R166R167,86 ST,1,R166,R167,2854
R168AR168,96 ST,123,R168A,R168,2854
R169R168,96 ST,123,R169,R168,2854
R169R168,96 ST,123,R169,R168,2854
R170R191,103 ST,1,R170,R191,2854
R171R192,CATHEDRAL PKWY,1,R171,R192,2854
R172R192,CATHEDRAL PKWY,1,R172,R192,2854
R173R159,116 ST-COLUMBIA,1,R173,R159,2854
R174R034,125 ST,1,R174,R034,2850
R175R169,137 ST CITY COL,1,R175,R169,2854
R176R169,137 ST CITY COL,1,R176,R169,2854
R177R273,145 ST,1,R177,R273,2850
R178R273,145 ST,1,R178,R273,2850
R179R193,157 ST,1,R179,R193,2854
R180R193,157 ST,1,R180,R193,2854
R182R035,168 ST,1AC,R182,R035,2850
R183R260,181 ST,1,R183,R260,2850
R185R274,191 ST,1,R185,R274,2850
R186R036,DYCKMAN ST,1,R186,R036,2850
R186R036,DYCKMAN ST,1,R186,R036,2850
R188R037,207 ST,1,R188,R037,2850
R190R038,215 ST,1,R190,R038,2850
R192R039,MARBLE HILL-225,1,R192,R039,2850
R194R040,231 ST,1,R194,R040,2850
R196R306,238 ST,1,R196,R306,2854
R197R117,V.CORTLANDT PK,1,R197,R117,2850
R200AR041,BOWLING GREEN,45,R200A,R041,2850
R201R041,BOWLING GREEN,45,R201,R041,2850
R202R042,BOWLING GREEN,45,R202,R042,2850
R203AR043,WALL ST,45,R203A,R043,680
R203AR043,WALL ST,45,R203A,R043,2854
R203R043,WALL ST,45,R203,R043,2854
R204AR043,WALL ST,45,R204A,R043,2854
R204R043,WALL ST,45,R204,R043,2854
R205AR014,FULTON ST,2345ACJZ,R205A,R014,2854
R206R014,FULTON ST,2345ACJZ,R206,R014,2854
R208R014,FULTON ST,2345ACJZ,R208,R014,2854
R210AR044,BROOKLYN BRIDGE,456JZ,R210A,R044,2850
R210R044,BROOKLYN BRIDGE,456JZ,R210,R044,2850
R215R322,SPRING ST,6,R215,R322,2850
R216R322,SPRING ST,6,R216,R322,2850
R217AR194,BLEECKER ST,6DF,R217A,R194,2850
R219R160,ASTOR PL,6,R219,R160,2854
R220R160,ASTOR PL,6,R220,R160,2854
R221R170,14 ST-UNION SQ,456LNQRW,R221,R170,2854
R226AR131,23 ST,6,R226A,R131,2854
R226R131,23 ST,6,R226,R131,2854
R227AR131,23 ST,6,R227A,R131,2854
R227R131,23 ST,6,R227,R131,2854
R228R143,28 ST,6,R228,R143,2854
R229R143,28 ST,6,R229,R143,2854
R230R143,28 ST,6,R230,R143,2854
R231AR176,33 ST,6,R231A,R176,2854
R231R176,33 ST,6,R231,R176,2854
R232AR176,33 ST,6,R232A,R176,2854
R232R176,33 ST,6,R232,R176,2854
R236R045,GRD CNTRL-42 ST,4567S,R236,R045,2854
R237BR047,GRD CNTRL-42 ST,4567S,R237B,R047,2578
R237R046,GRD CNTRL-42 ST,4567S,R237,R046,2850
R238AR046,GRD CNTRL-42 ST,4567S,R238A,R046,2850
R238R046,GRD CNTRL-42 ST,4567S,R238,R046,2850
R240R047,GRD CNTRL-42 ST,4567S,R240,R047,2854
R241AR048,GRD CNTRL-42 ST,4567S,R241A,R048,2854
R242AR049,51 ST,6,R242A,R049,2850
R242R049,51 ST,6,R242,R049,2850
R243R049,51 ST,6,R243,R049,2850
R244AR050,59 ST,456NQRW,R244A,R050,2850
R244R050,59 ST,456NQRW,R244,R050,2850
R245AR051,59 ST,456NQRW,R245A,R051,2850
R245R051,59 ST,456NQRW,R245,R051,2851
R246R177,68ST-HUNTER CO,6,R246,R177,2454
R246R177,68ST-HUNTER CO,6,R246,R177,2854
R247R178,77 ST,6,R247,R178,2854
R248R178,77 ST,6,R248,R178,2854
R249R179,86 ST,456,R249,R179,2850
R250R179,86 ST,456,R250,R179,2850
R251R144,96 ST,6,R251,R144,2854
R252R180,103 ST,6,R252,R180,2854
R253R181,110 ST,6,R253,R181,2850
R254R181,110 ST,6,R254,R181,2850
R256R182,116 ST,6,R256,R182,2854
R257R182,116 ST,6,R257,R182,2854
R258R132,125 ST,456,R258,R132,2854
R258R132,125 ST,456,R258,R132,2854
R259R307,138/GRAND CONC,45,R259,R307,2850
R260R205,149/GRAND CONC,245,R260,R205,2850
R261R205,149/GRAND CONC,245,R261,R205,2850
R262AR195,161/YANKEE STAD,4BD,R262A,R195,2850
R262BR195,161/YANKEE STAD,4BD,R262B,R195,2850
R262R195,161/YANKEE STAD,4BD,R262,R195,2850
R283R221,167 ST,4,R283,R221,2850
R284R243,170 ST,4,R284,R243,2850
R285R308,MT EDEN AV,4,R285,R308,2850
R286R309,176 ST,4,R286,R309,2850
R287R244,BURNSIDE AV,4,R287,R244,2850
R288R275,183 ST,4,R288,R275,2850
R289R119,FORDHAM RD,4,R289,R119,2850
R290R161,KINGSBRIDGE RD,4,R290,R161,2854
R291R183,BEDFORD PK BLVD,4,R291,R183,2850
R293R133,MOSHOLU PKWY,4,R293,R133,2854
R293R133,MOSHOLU PKWY,4,R293,R133,2854
R294R052,WOODLAWN,4,R294,R052,2850
R301R323,CENTRAL PK N110,23,R301,R323,2850
R302R324,116 ST,23,R302,R324,2854
R303R324,116 ST,23,R303,R324,2854
R304R206,125 ST,23,R304,R206,2854
R305R206,125 ST,23,R305,R206,2854
R306R207,135 ST,23,R306,R207,2850
R307R207,135 ST,23,R307,R207,2850
R308R344,145 ST,3,R308,R344,2850
R309R345,HARLEM 148 ST,3,R309,R345,2850
R310R053,3 AV-149 ST,25,R310,R053,2850
R311R053,3 AV-149 ST,25,R311,R053,2850
R312R405,JACKSON AV,25,R312,R405,2854
R314R406,PROSPECT AV,25,R314,R406,2846
R315R406,PROSPECT AV,25,R315,R406,2846
R316R407,INTERVALE AV,25,R316,R407,2854
R317R408,SIMPSON ST,25,R317,R408,2854
R318R408,SIMPSON ST,25,R318,R408,2854
R319R409,FREEMAN ST,25,R319,R409,2854
R320R409,FREEMAN ST,25,R320,R409,2854
R321R386,174 ST,25,R321,R386,2854
R322R386,174 ST,25,R322,R386,2854
R323R387,WEST FARMS SQ,25,R323,R387,2854
R325R388,E 180 ST,25,R325,R388,2854
R326R389,BRONX PARK EAST,25,R326,R389,2854
R327R361,PELHAM PKWY,25,R327,R361,2854
R328R361,PELHAM PKWY,25,R328,R361,2854
R329R362,ALLERTON AV,25,R329,R362,2854
R330R363,BURKE AV,25,R330,R363,2854
R331R364,GUN HILL RD,25,R331,R364,2854
R332R365,219 ST,25,R332,R365,2854
R333R366,225 ST,25,R333,R366,2854
R334R367,233 ST,25,R334,R367,2854
R335R444,NEREID AV,25,R335,R444,2854
R336R145,WAKEFIELD/241,2,R336,R145,2854
R401R445,3 AV 138 ST,6,R401,R445,2854
R402R446,BROOK AV,6,R402,R446,2854
R403R446,BROOK AV,6,R403,R446,2854
R404R447,CYPRESS AV,6,R404,R447,2854
R405R447,CYPRESS AV,6,R405,R447,2854
R406R448,E 143/ST MARY'S,6,R406,R448,2854
R407R448,E 143/ST MARY'S,6,R407,R448,2854
R408R449,E 149 ST,6,R408,R449,2850
R409R449,E 149 ST,6,R409,R449,2854
R410R450,LONGWOOD AV,6,R410,R450,2854
R411R450,LONGWOOD AV,6,R411,R450,2070
R412R146,HUNTS POINT AV,6,R412,R146,2854
R413R325,WHITLOCK AV,6,R413,R325,2850
R414R162,ELDER AV,6,R414,R162,2854
R415R120,MORISN AV/SNDVW,6,R415,R120,2850
R416R245,ST LAWRENCE AV,6,R416,R245,2850
R417R222,PARKCHESTER,6,R417,R222,2854
R417R222,PARKCHESTER,6,R417,R222,2854
R418R106,CASTLE HILL AV,6,R418,R106,2850
R419R326,ZEREGA AV,6,R419,R326,2854
R420R107,WESTCHESTER SQ,6,R420,R107,2850
R421R427,MIDDLETOWN RD,6,R421,R427,2854
R422R428,BUHRE AV,6,R422,R428,2854
R423R429,PELHAM BAY PARK,6,R423,R429,2850
R501R054,5 AVE,7BDFM,R501,R054,2850
R503R276,VERNON-JACKSON,7,R503,R276,2850
R504R276,VERNON-JACKSON,7,R504,R276,2850
R506R276,VERNON-JACKSON,7,R506,R276,2850
R507R134,HUNTERS PT AV,7,R507,R134,2854
R508R346,COURT SQ,7,R508,R346,2850
R509R121,QUEENSBORO PLZ,7NQW,R509,R121,2850
R510R090,39 AV,NQW,R510,R090,2850
R511R091,36 AV,NQW,R511,R091,2850
R512R092,BROADWAY,NQW,R512,R092,2850
R513R093,30 AV,NQW,R513,R093,2850
R514R094,ASTORIA BLVD,NQW,R514,R094,2850
R515R095,ASTORIA DITMARS,NQW,R515,R095,2850
R516R291,33 ST-RAWSON ST,7,R516,R291,2850
R517R291,33 ST-RAWSON ST,7,R517,R291,2850
R518R261,40 ST LOWERY ST,7,R518,R261,2850
R519R223,46 ST BLISS ST,7,R519,R223,2850
R520R223,46 ST BLISS ST,7,R520,R223,2850
R521R327,52 ST,7,R521,R327,2854
R523R147,61 ST WOODSIDE,7,R523,R147,2854
R524R347,69 ST,7,R524,R347,2854
R525R018,74 ST-BROADWAY,7EFMR,R525,R018,2850
R526R096,82 ST-JACKSON H,7,R526,R096,2850
R527R122,90 ST-ELMHURST,7,R527,R122,2850
R528R097,JUNCTION BLVD,7,R528,R097,2850
R529R208,103 ST-CORONA,7,R529,R208,2850
R530R310,111 ST,7,R530,R310,2850
R530R310,111 ST,7,R530,R310,1253
R532HR328,METS-WILLETS PT,7,R532H,R328,2854
R532R328,METS-WILLETS PT,7,R532,R328,2854
R533R055,FLUSHING-MAIN,7,R533,R055,2850
R534R055,FLUSHING-MAIN,7,R534,R055,2850
R550R072,34 ST-HUDSON YD,7,R550,R072,2850
R550R072,34 ST-HUDSON YD,7,R550,R072,2850
R551R072,34 ST-HUDSON YD,7,R551,R072,2850
R600R224,CLARK ST,23,R600,R224,2850
R601AR108,BOROUGH HALL,2345R,R601A,R108,2850
R602R108,BOROUGH HALL,2345R,R602,R108,2850
R604R108,BOROUGH HALL,2345R,R604,R108,2850
R605R456,HOYT ST,23,R605,R456,2850
R606R225,HOYT ST,23,R606,R225,2850
R608R056,NEVINS ST,2345,R608,R056,2850
R609R056,NEVINS ST,2345,R609,R056,2850
R610R057,ATL AV-BARCLAY,2345BDNQR,R610,R057,2850
R612R057,ATL AV-BARCLAY,BDNQR2345,R612,R057,2850
R617R058,BERGEN ST,23,R617,R058,2850
R618R058,BERGEN ST,23,R618,R058,2850
R619R059,GRAND ARMY PLAZ,23,R619,R059,2850
R621R060,EASTN PKWY-MUSM,23,R621,R060,2850
R622R123,FRANKLIN AV,2345S,R622,R123,2850
R623R061,NOSTRAND AV,3,R623,R061,2850
R624R124,KINGSTON AV,3,R624,R124,2850
R625R062,CROWN HTS-UTICA,34,R625,R062,2850
R626R062,CROWN HTS-UTICA,34,R626,R062,1009
R626R062,CROWN HTS-UTICA,34,R626,R062,2850
R627R063,SUTTER AV-RUTLD,3,R627,R063,2850
R628R064,SARATOGA AV,3,R628,R064,2850
R629R065,ROCKAWAY AV,3,R629,R065,2850
R630R066,JUNIUS ST,3,R630,R066,2850
R632R067,PENNSYLVANIA AV,3,R632,R067,2850
R633R068,VAN SICLEN AV,3,R633,R068,2850
R634R069,NEW LOTS AV,3,R634,R069,2850
R635R277,PRESIDENT ST,25,R635,R277,2850
R636R209,STERLING ST,25,R636,R209,2850
R637R451,WINTHROP ST,25,R637,R451,2854
R639R109,CHURCH AV,25,R639,R109,2854
R641R210,BEVERLY RD,25,R641,R210,2850
R643R135,NEWKIRK AV,25,R643,R135,2854
R644R135,NEWKIRK AV,25,R644,R135,2854
R645R110,FLATBUSH AV-B.C,25,R645,R110,2854
R646R110,FLATBUSH AV-B.C,25,R646,R110,1068
R646R110,FLATBUSH AV-B.C,25,R646,R110,2854
R647R110,FLATBUSH AV-B.C,25,R647,R110,2854
R726R329,MORRIS PARK,5,R726,R329,2854
R727R430,PELHAM PKWY,5,R727,R430,2854
R728R226,GUN HILL RD,5,R728,R226,2850
R729R292,BAYCHESTER AV,5,R729,R292,2854
R730R431,EASTCHSTER/DYRE,5,R730,R431,2854
S101AR070,ST. GEORGE,1,S101A,R070,2850
S101R070,ST. GEORGE,1,S101,R070,2850
S102R165,TOMPKINSVILLE,1,S102,R165,2854
TRAM1R468,RIT-MANHATTAN,R,TRAM1,R468,2854
TRAM2R469,RIT-ROOSEVELT,R,TRAM2,R469,2854
