Station,Line Name,Date,Daily Entries,Daily Exits
,,,,
1 AV,L,01/01/2020,5801,7285
1 AV,L,01/02/2020,15135,17646
1 AV,L,01/03/2020,15611,18266
1 AV,L,01/04/2020,6015,7119
1 AV,L,01/05/2020,4724,5530
1 AV,L,01/06/2020,16263,18641
1 AV,L,01/07/2020,16612,19372
1 AV,L,01/08/2020,17206,20275
1 AV,L,01/09/2020,17463,20072
1 AV,L,01/10/2020,17642,20489
1 AV,L,01/11/2020,6971,8220
1 AV,L,01/12/2020,5004,5980
1 AV,L,01/13/2020,16217,18969
1 AV,L,01/14/2020,16978,19869
1 AV,L,01/15/2020,17428,19854
1 AV,L,01/16/2020,17668,20252
1 AV,L,01/17/2020,18247,21413
1 AV,L,01/18/2020,5209,6061
1 AV,L,01/19/2020,4281,5088
1 AV,L,01/20/2020,10184,13012
1 AV,L,01/21/2020,16832,19233
1 AV,L,01/22/2020,16679,18867
1 AV,L,01/23/2020,17100,18881
1 AV,L,01/24/2020,16801,20005
1 AV,L,01/25/2020,6000,7099
1 AV,L,01/26/2020,4970,5711
1 AV,L,01/27/2020,16013,18586
1 AV,L,01/28/2020,17235,19627
1 AV,L,01/29/2020,17554,19791
1 AV,L,01/30/2020,17644,20078
1 AV,L,01/31/2020,18149,20966
1 AV,L,02/01/2020,6419,7514
1 AV,L,02/02/2020,5210,6050
1 AV,L,02/03/2020,16598,19186
1 AV,L,02/04/2020,17577,19705
1 AV,L,02/05/2020,17866,20020
1 AV,L,02/06/2020,17926,20234
1 AV,L,02/07/2020,18438,21438
1 AV,L,02/08/2020,6572,7750
1 AV,L,02/09/2020,4995,5902
1 AV,L,02/10/2020,17261,20095
1 AV,L,02/11/2020,17795,20352
1 AV,L,02/12/2020,18058,19174
1 AV,L,02/13/2020,18374,20769
1 AV,L,02/14/2020,19046,22739
1 AV,L,02/15/2020,4812,6539
1 AV,L,02/16/2020,3880,5029
1 AV,L,02/17/2020,5801,6899
1 AV,L,02/18/2020,13669,17897
1 AV,L,02/19/2020,13970,17650
1 AV,L,02/20/2020,14386,18485
1 AV,L,02/21/2020,14199,19066
1 AV,L,02/22/2020,6015,7832
1 AV,L,02/23/2020,4273,5846
1 AV,L,02/24/2020,14697,20436
1 AV,L,02/25/2020,15553,21402
1 AV,L,02/26/2020,16167,20627
1 AV,L,02/27/2020,16453,22173
1 AV,L,02/28/2020,16985,22799
1 AV,L,02/29/2020,6000,8005
1 AV,L,03/01/2020,4234,5713
1 AV,L,03/02/2020,14854,19593
1 AV,L,03/03/2020,15527,20962
1 AV,L,03/04/2020,14331,18055
1 AV,L,03/05/2020,15735,20578
1 AV,L,03/06/2020,15950,22519
1 AV,L,03/07/2020,5764,8012
1 AV,L,03/08/2020,3431,4662
1 AV,L,03/09/2020,13073,16765
1 AV,L,03/10/2020,13054,16935
1 AV,L,03/11/2020,12423,16453
1 AV,L,03/12/2020,11433,15544
1 AV,L,03/13/2020,9415,13228
1 AV,L,03/14/2020,2367,3796
1 AV,L,03/15/2020,1635,2574
1 AV,L,03/16/2020,4851,7127
1 AV,L,03/17/2020,4132,6248
1 AV,L,03/18/2020,3713,5703
1 AV,L,03/19/2020,3223,5041
1 AV,L,03/20/2020,3067,4843
1 AV,L,03/21/2020,8,343
1 AV,L,03/22/2020,13,178
1 AV,L,03/23/2020,1851,3220
1 AV,L,03/24/2020,2058,3359
1 AV,L,03/25/2020,1956,3295
1 AV,L,03/26/2020,1896,2976
1 AV,L,03/27/2020,1736,2895
1 AV,L,03/28/2020,456,1121
1 AV,L,03/29/2020,397,938
1 AV,L,03/30/2020,1531,2744
1 AV,L,03/31/2020,1466,2528
1 AV,L,04/01/2020,1483,2373
1 AV,L,04/02/2020,1348,2175
1 AV,L,04/03/2020,1316,2303
1 AV,L,04/04/2020,570,1084
1 AV,L,04/05/2020,393,842
1 AV,L,04/06/2020,1266,1952
1 AV,L,04/07/2020,1232,2046
1 AV,L,04/08/2020,1265,2178
1 AV,L,04/09/2020,1168,2083
1 AV,L,04/10/2020,1121,2032
1 AV,L,04/11/2020,504,1037
1 AV,L,04/12/2020,387,776
1 AV,L,04/13/2020,1055,1963
1 AV,L,04/14/2020,1370,2183
1 AV,L,04/15/2020,1289,2242
1 AV,L,04/16/2020,1243,2136
1 AV,L,04/17/2020,1266,2193
1 AV,L,12/28/2019,5452,6419
1 AV,L,12/29/2019,4409,5373
1 AV,L,12/30/2019,12363,15960
1 AV,L,12/31/2019,12834,16377
103 ST,1,01/01/2020,5891,3304
103 ST,1,01/02/2020,9784,4547
103 ST,1,01/03/2020,9992,4856
103 ST,1,01/04/2020,6793,3432
103 ST,1,01/05/2020,5990,3322
103 ST,1,01/06/2020,10379,5089
103 ST,1,01/07/2020,10940,5253
103 ST,1,01/08/2020,10948,5325
103 ST,1,01/09/2020,11144,5355
103 ST,1,01/10/2020,10682,5123
103 ST,1,01/11/2020,7140,3714
103 ST,1,01/12/2020,5913,3312
103 ST,1,01/13/2020,5244,6049
103 ST,1,01/14/2020,10755,5087
103 ST,1,01/15/2020,10855,5270
103 ST,1,01/16/2020,10943,5407
103 ST,1,01/17/2020,10765,5233
103 ST,1,01/18/2020,6423,3173
103 ST,1,01/19/2020,6042,2986
103 ST,1,01/20/2020,7391,3993
103 ST,1,01/21/2020,10806,4977
103 ST,1,01/22/2020,10895,5176
103 ST,1,01/23/2020,10966,5099
103 ST,1,01/24/2020,10808,5118
103 ST,1,01/25/2020,6551,3158
103 ST,1,01/26/2020,5519,2984
103 ST,1,01/27/2020,10164,4993
103 ST,1,01/28/2020,10983,5276
103 ST,1,01/29/2020,11019,5356
103 ST,1,01/30/2020,11129,5270
103 ST,1,01/31/2020,10770,5204
103 ST,1,02/01/2020,7188,3696
103 ST,1,02/02/2020,5954,3502
103 ST,1,02/03/2020,10304,4985
103 ST,1,02/04/2020,10711,4776
103 ST,1,02/05/2020,11207,5263
103 ST,1,02/06/2020,11154,5088
103 ST,1,02/07/2020,11020,5195
103 ST,1,02/08/2020,7017,3337
103 ST,1,02/09/2020,5525,2947
103 ST,1,02/10/2020,10487,5053
103 ST,1,02/11/2020,10740,4937
103 ST,1,02/12/2020,11045,5173
103 ST,1,02/13/2020,11059,5119
103 ST,1,02/14/2020,10992,5352
103 ST,1,02/15/2020,6351,3044
103 ST,1,02/16/2020,5519,2802
103 ST,1,02/17/2020,6779,3270
103 ST,1,02/18/2020,9908,4648
103 ST,1,02/19/2020,10093,4810
103 ST,1,02/20/2020,10295,4766
103 ST,1,02/21/2020,10123,4792
103 ST,1,02/22/2020,6515,3009
103 ST,1,02/23/2020,5265,2906
103 ST,1,02/24/2020,10095,4869
103 ST,1,02/25/2020,10892,5326
103 ST,1,02/26/2020,10999,5146
103 ST,1,02/27/2020,10953,5273
103 ST,1,02/28/2020,10797,5193
103 ST,1,02/29/2020,6855,3303
103 ST,1,03/01/2020,5363,2931
103 ST,1,03/02/2020,10151,5137
103 ST,1,03/03/2020,10514,5250
103 ST,1,03/04/2020,10441,4901
103 ST,1,03/05/2020,10573,4956
103 ST,1,03/06/2020,10361,5199
103 ST,1,03/07/2020,6469,3626
103 ST,1,03/08/2020,5242,3273
103 ST,1,03/09/2020,9598,4923
103 ST,1,03/10/2020,9547,4838
103 ST,1,03/11/2020,9187,4786
103 ST,1,03/12/2020,8374,4348
103 ST,1,03/13/2020,6753,3719
103 ST,1,03/14/2020,3599,2317
103 ST,1,03/15/2020,2527,1907
103 ST,1,03/16/2020,3922,2572
103 ST,1,03/17/2020,3242,2169
103 ST,1,03/18/2020,2929,1918
103 ST,1,03/19/2020,2603,1813
103 ST,1,03/20/2020,2313,1636
103 ST,1,03/21/2020,1304,1102
103 ST,1,03/22/2020,938,793
103 ST,1,03/23/2020,1472,1193
103 ST,1,03/24/2020,1389,1102
103 ST,1,03/25/2020,1329,1089
103 ST,1,03/26/2020,1318,1028
103 ST,1,03/27/2020,1570,2302
103 ST,1,03/28/2020,998,1240
103 ST,1,03/29/2020,632,640
103 ST,1,03/30/2020,1083,873
103 ST,1,03/31/2020,991,886
103 ST,1,04/01/2020,1009,892
103 ST,1,04/02/2020,921,798
103 ST,1,04/03/2020,978,804
103 ST,1,04/04/2020,630,636
103 ST,1,04/05/2020,521,548
103 ST,1,04/06/2020,873,764
103 ST,1,04/07/2020,825,714
103 ST,1,04/08/2020,827,715
103 ST,1,04/09/2020,821,651
103 ST,1,04/10/2020,818,718
103 ST,1,04/11/2020,608,627
103 ST,1,04/12/2020,411,472
103 ST,1,04/13/2020,731,682
103 ST,1,04/14/2020,845,781
103 ST,1,04/15/2020,894,754
103 ST,1,04/16/2020,873,814
103 ST,1,04/17/2020,920,807
103 ST,1,12/28/2019,6515,3300
103 ST,1,12/29/2019,5994,3050
103 ST,1,12/30/2019,9162,4345
103 ST,1,12/31/2019,8877,4215
103 ST,6,01/01/2020,4164,4636
103 ST,6,01/02/2020,10642,9695
103 ST,6,01/03/2020,10978,9692
103 ST,6,01/04/2020,6622,6928
103 ST,6,01/05/2020,4458,4912
103 ST,6,01/06/2020,12504,11392
103 ST,6,01/07/2020,12792,11136
103 ST,6,01/08/2020,12774,11171
103 ST,6,01/09/2020,12708,11184
103 ST,6,01/10/2020,12487,10966
103 ST,6,01/11/2020,6265,6455
103 ST,6,01/12/2020,4668,5182
103 ST,6,01/13/2020,12614,11332
103 ST,6,01/14/2020,12570,11163
103 ST,6,01/15/2020,12814,11407
103 ST,6,01/16/2020,12712,11429
103 ST,6,01/17/2020,12263,10944
103 ST,6,01/18/2020,5248,5104
103 ST,6,01/19/2020,5343,5265
103 ST,6,01/20/2020,6166,6156
103 ST,6,01/21/2020,12058,10812
103 ST,6,01/22/2020,12197,10805
103 ST,6,01/23/2020,12297,10597
103 ST,6,01/24/2020,12181,10827
103 ST,6,01/25/2020,5446,5260
103 ST,6,01/26/2020,4499,4210
103 ST,6,01/27/2020,11855,10515
103 ST,6,01/28/2020,12943,11341
103 ST,6,01/29/2020,13002,11231
103 ST,6,01/30/2020,12998,11586
103 ST,6,01/31/2020,12336,10964
103 ST,6,02/01/2020,5752,5590
103 ST,6,02/02/2020,5081,5592
103 ST,6,02/03/2020,12239,10817
103 ST,6,02/04/2020,12753,11115
103 ST,6,02/05/2020,12968,11292
103 ST,6,02/06/2020,12845,11190
103 ST,6,02/07/2020,12540,10924
103 ST,6,02/08/2020,6152,6360
103 ST,6,02/09/2020,4613,4968
103 ST,6,02/10/2020,12400,11061
103 ST,6,02/11/2020,12973,11179
103 ST,6,02/12/2020,13268,11617
103 ST,6,02/13/2020,13127,11229
103 ST,6,02/14/2020,12612,11513
103 ST,6,02/15/2020,5664,5666
103 ST,6,02/16/2020,4291,4521
103 ST,6,02/17/2020,6005,6035
103 ST,6,02/18/2020,10420,9645
103 ST,6,02/19/2020,11204,10095
103 ST,6,02/20/2020,10798,9777
103 ST,6,02/21/2020,10585,9737
103 ST,6,02/22/2020,5978,6171
103 ST,6,02/23/2020,4683,5274
103 ST,6,02/24/2020,12151,10785
103 ST,6,02/25/2020,12839,11408
103 ST,6,02/26/2020,13039,11056
103 ST,6,02/27/2020,13243,11704
103 ST,6,02/28/2020,12579,11246
103 ST,6,02/29/2020,6434,6487
103 ST,6,03/01/2020,4663,5052
103 ST,6,03/02/2020,12233,11024
103 ST,6,03/03/2020,12940,11449
103 ST,6,03/04/2020,12992,11618
103 ST,6,03/05/2020,12744,11386
103 ST,6,03/06/2020,12105,11077
103 ST,6,03/07/2020,6039,5978
103 ST,6,03/08/2020,4330,4672
103 ST,6,03/09/2020,11765,10884
103 ST,6,03/10/2020,11884,11043
103 ST,6,03/11/2020,11667,10747
103 ST,6,03/12/2020,10956,10263
103 ST,6,03/13/2020,9339,8990
103 ST,6,03/14/2020,4250,4378
103 ST,6,03/15/2020,2988,3190
103 ST,6,03/16/2020,6225,6470
103 ST,6,03/17/2020,5445,5882
103 ST,6,03/18/2020,5336,5636
103 ST,6,03/19/2020,4567,4928
103 ST,6,03/20/2020,4280,4620
103 ST,6,03/21/2020,2129,2521
103 ST,6,03/22/2020,1466,1842
103 ST,6,03/23/2020,2751,3107
103 ST,6,03/24/2020,2895,3260
103 ST,6,03/25/2020,2655,3097
103 ST,6,03/26/2020,2658,3044
103 ST,6,03/27/2020,2611,3101
103 ST,6,03/28/2020,1383,1792
103 ST,6,03/29/2020,1116,1389
103 ST,6,03/30/2020,2297,2804
103 ST,6,03/31/2020,2200,2647
103 ST,6,04/01/2020,2175,2600
103 ST,6,04/02/2020,2111,2551
103 ST,6,04/03/2020,2118,2524
103 ST,6,04/04/2020,1183,1563
103 ST,6,04/05/2020,991,1277
103 ST,6,04/06/2020,1958,2450
103 ST,6,04/07/2020,1854,2321
103 ST,6,04/08/2020,1875,2378
103 ST,6,04/09/2020,1815,2259
103 ST,6,04/10/2020,1766,2358
103 ST,6,04/11/2020,1048,1457
103 ST,6,04/12/2020,907,1318
103 ST,6,04/13/2020,1674,2120
103 ST,6,04/14/2020,1916,2548
103 ST,6,04/15/2020,1816,2373
103 ST,6,04/16/2020,1864,2422
103 ST,6,04/17/2020,1879,2426
103 ST,6,12/28/2019,5549,5681
103 ST,6,12/29/2019,4691,5003
103 ST,6,12/30/2019,8680,8229
103 ST,6,12/31/2019,8520,8080
103 ST,BC,01/01/2020,1947,1769
103 ST,BC,01/02/2020,3975,2469
103 ST,BC,01/03/2020,4007,2234
103 ST,BC,01/04/2020,2672,1624
103 ST,BC,01/05/2020,1905,1320
103 ST,BC,01/06/2020,4009,2493
103 ST,BC,01/07/2020,4244,2544
103 ST,BC,01/08/2020,4241,2561
103 ST,BC,01/09/2020,4396,2523
103 ST,BC,01/10/2020,4188,2474
103 ST,BC,01/11/2020,2204,1388
103 ST,BC,01/12/2020,2043,1418
103 ST,BC,01/13/2020,7636,4139
103 ST,BC,01/14/2020,4359,2676
103 ST,BC,01/15/2020,4434,2516
103 ST,BC,01/16/2020,4451,2839
103 ST,BC,01/17/2020,4245,2462
103 ST,BC,01/18/2020,2301,1506
103 ST,BC,01/19/2020,1285,1412
103 ST,BC,01/20/2020,2620,1986
103 ST,BC,01/21/2020,4072,2563
103 ST,BC,01/22/2020,4293,2476
103 ST,BC,01/23/2020,4263,2560
103 ST,BC,01/24/2020,4251,2377
103 ST,BC,01/25/2020,2251,1467
103 ST,BC,01/26/2020,2127,1411
103 ST,BC,01/27/2020,3987,2435
103 ST,BC,01/28/2020,4210,2406
103 ST,BC,01/29/2020,4353,2643
103 ST,BC,01/30/2020,4354,2426
103 ST,BC,01/31/2020,4297,2421
103 ST,BC,02/01/2020,2227,1449
103 ST,BC,02/02/2020,2281,1687
103 ST,BC,02/03/2020,4161,2497
103 ST,BC,02/04/2020,4189,2612
103 ST,BC,02/05/2020,4422,2621
103 ST,BC,02/06/2020,4381,2616
103 ST,BC,02/07/2020,4499,2620
103 ST,BC,02/08/2020,2637,1697
103 ST,BC,02/09/2020,2076,1493
103 ST,BC,02/10/2020,4040,2520
103 ST,BC,02/11/2020,4292,2487
103 ST,BC,02/12/2020,4385,2619
103 ST,BC,02/13/2020,4335,2616
103 ST,BC,02/14/2020,4356,2648
103 ST,BC,02/15/2020,2332,1539
103 ST,BC,02/16/2020,2147,1342
103 ST,BC,02/17/2020,2887,1737
103 ST,BC,02/18/2020,3865,2317
103 ST,BC,02/19/2020,4058,2503
103 ST,BC,02/20/2020,4056,2430
103 ST,BC,02/21/2020,3903,2392
103 ST,BC,02/22/2020,2530,1635
103 ST,BC,02/23/2020,2510,1860
103 ST,BC,02/24/2020,4152,2476
103 ST,BC,02/25/2020,4328,2643
103 ST,BC,02/26/2020,4324,2661
103 ST,BC,02/27/2020,4390,2551
103 ST,BC,02/28/2020,4264,2540
103 ST,BC,02/29/2020,2361,1985
103 ST,BC,03/01/2020,2183,1813
103 ST,BC,03/02/2020,4139,2554
103 ST,BC,03/03/2020,4349,2667
103 ST,BC,03/04/2020,4434,2718
103 ST,BC,03/05/2020,4292,2510
103 ST,BC,03/06/2020,4225,2524
103 ST,BC,03/07/2020,2330,1641
103 ST,BC,03/08/2020,2075,1557
103 ST,BC,03/09/2020,4103,2678
103 ST,BC,03/10/2020,3938,2532
103 ST,BC,03/11/2020,3971,2535
103 ST,BC,03/12/2020,3537,2483
103 ST,BC,03/13/2020,2991,1949
103 ST,BC,03/14/2020,1340,929
103 ST,BC,03/15/2020,943,676
103 ST,BC,03/16/2020,1829,1382
103 ST,BC,03/17/2020,1530,1127
103 ST,BC,03/18/2020,1494,1102
103 ST,BC,03/19/2020,1294,889
103 ST,BC,03/20/2020,1180,922
103 ST,BC,03/21/2020,561,463
103 ST,BC,03/22/2020,408,397
103 ST,BC,03/23/2020,678,563
103 ST,BC,03/24/2020,693,517
103 ST,BC,03/25/2020,714,512
103 ST,BC,03/26/2020,648,472
103 ST,BC,03/27/2020,653,531
103 ST,BC,03/28/2020,307,310
103 ST,BC,03/29/2020,233,245
103 ST,BC,03/30/2020,531,536
103 ST,BC,03/31/2020,485,459
103 ST,BC,04/01/2020,510,420
103 ST,BC,04/02/2020,462,414
103 ST,BC,04/03/2020,427,397
103 ST,BC,04/04/2020,239,271
103 ST,BC,04/05/2020,220,230
103 ST,BC,04/06/2020,444,385
103 ST,BC,04/07/2020,415,372
103 ST,BC,04/08/2020,434,381
103 ST,BC,04/09/2020,392,375
103 ST,BC,04/10/2020,404,357
103 ST,BC,04/11/2020,213,241
103 ST,BC,04/12/2020,187,207
103 ST,BC,04/13/2020,355,318
103 ST,BC,04/14/2020,382,356
103 ST,BC,04/15/2020,397,375
103 ST,BC,04/16/2020,395,343
103 ST,BC,04/17/2020,395,365
103 ST,BC,12/28/2019,2415,1451
103 ST,BC,12/29/2019,1896,1360
103 ST,BC,12/30/2019,3372,2163
103 ST,BC,12/31/2019,3420,2290
103 ST-CORONA,7,01/01/2020,7879,6419
103 ST-CORONA,7,01/02/2020,18848,12715
103 ST-CORONA,7,01/03/2020,19346,13062
103 ST-CORONA,7,01/04/2020,13406,8586
103 ST-CORONA,7,01/05/2020,10266,7568
103 ST-CORONA,7,01/06/2020,19654,14404
103 ST-CORONA,7,01/07/2020,19678,13946
103 ST-CORONA,7,01/08/2020,20009,14014
103 ST-CORONA,7,01/09/2020,19739,13856
103 ST-CORONA,7,01/10/2020,20423,13788
103 ST-CORONA,7,01/11/2020,14079,9623
103 ST-CORONA,7,01/12/2020,10514,7693
103 ST-CORONA,7,01/13/2020,19537,13632
103 ST-CORONA,7,01/14/2020,19752,13901
103 ST-CORONA,7,01/15/2020,20383,13918
103 ST-CORONA,7,01/16/2020,20272,13822
103 ST-CORONA,7,01/17/2020,19929,13523
103 ST-CORONA,7,01/18/2020,12585,9379
103 ST-CORONA,7,01/19/2020,10335,8048
103 ST-CORONA,7,01/20/2020,15308,10852
103 ST-CORONA,7,01/21/2020,19278,13195
103 ST-CORONA,7,01/22/2020,19492,12090
103 ST-CORONA,7,01/23/2020,19370,12074
103 ST-CORONA,7,01/24/2020,19937,11668
103 ST-CORONA,7,01/25/2020,12986,9478
103 ST-CORONA,7,01/26/2020,10707,8472
103 ST-CORONA,7,01/27/2020,19709,11898
103 ST-CORONA,7,01/28/2020,20482,12953
103 ST-CORONA,7,01/29/2020,20533,12958
103 ST-CORONA,7,01/30/2020,20145,13151
103 ST-CORONA,7,01/31/2020,20622,13138
103 ST-CORONA,7,02/01/2020,13516,8557
103 ST-CORONA,7,02/02/2020,9798,6822
103 ST-CORONA,7,02/03/2020,20145,14120
103 ST-CORONA,7,02/04/2020,20529,14324
103 ST-CORONA,7,02/05/2020,20907,14164
103 ST-CORONA,7,02/06/2020,20419,14060
103 ST-CORONA,7,02/07/2020,20581,13966
103 ST-CORONA,7,02/08/2020,13527,8972
103 ST-CORONA,7,02/09/2020,9470,7126
103 ST-CORONA,7,02/10/2020,19699,14134
103 ST-CORONA,7,02/11/2020,20209,14017
103 ST-CORONA,7,02/12/2020,20750,14075
103 ST-CORONA,7,02/13/2020,20702,14364
103 ST-CORONA,7,02/14/2020,21026,13925
103 ST-CORONA,7,02/15/2020,12904,8611
103 ST-CORONA,7,02/16/2020,9944,6887
103 ST-CORONA,7,02/17/2020,15607,10335
103 ST-CORONA,7,02/18/2020,19111,13102
103 ST-CORONA,7,02/19/2020,19601,12222
103 ST-CORONA,7,02/20/2020,19077,12546
103 ST-CORONA,7,02/21/2020,19165,11192
103 ST-CORONA,7,02/22/2020,13287,8652
103 ST-CORONA,7,02/23/2020,10027,7125
103 ST-CORONA,7,02/24/2020,20078,12673
103 ST-CORONA,7,02/25/2020,20332,14305
103 ST-CORONA,7,02/26/2020,20686,12942
103 ST-CORONA,7,02/27/2020,20617,12847
103 ST-CORONA,7,02/28/2020,20554,12434
103 ST-CORONA,7,02/29/2020,13161,8951
103 ST-CORONA,7,03/01/2020,9539,6942
103 ST-CORONA,7,03/02/2020,20002,13998
103 ST-CORONA,7,03/03/2020,20519,14416
103 ST-CORONA,7,03/04/2020,20848,14173
103 ST-CORONA,7,03/05/2020,20784,14305
103 ST-CORONA,7,03/06/2020,20431,14054
103 ST-CORONA,7,03/07/2020,13355,8994
103 ST-CORONA,7,03/08/2020,8853,5267
103 ST-CORONA,7,03/09/2020,19404,11012
103 ST-CORONA,7,03/10/2020,19249,10852
103 ST-CORONA,7,03/11/2020,19214,10945
103 ST-CORONA,7,03/12/2020,18291,9447
103 ST-CORONA,7,03/13/2020,17599,9689
103 ST-CORONA,7,03/14/2020,10585,4006
103 ST-CORONA,7,03/15/2020,7242,2331
103 ST-CORONA,7,03/16/2020,13127,7929
103 ST-CORONA,7,03/17/2020,11106,6627
103 ST-CORONA,7,03/18/2020,10394,6225
103 ST-CORONA,7,03/19/2020,9256,6790
103 ST-CORONA,7,03/20/2020,9075,5334
103 ST-CORONA,7,03/21/2020,4755,3814
103 ST-CORONA,7,03/22/2020,2621,2336
103 ST-CORONA,7,03/23/2020,4054,3251
103 ST-CORONA,7,03/24/2020,4334,3581
103 ST-CORONA,7,03/25/2020,3835,3396
103 ST-CORONA,7,03/26/2020,3815,3188
103 ST-CORONA,7,03/27/2020,3732,2963
103 ST-CORONA,7,03/28/2020,2110,1962
103 ST-CORONA,7,03/29/2020,1538,1356
103 ST-CORONA,7,03/30/2020,2877,2496
103 ST-CORONA,7,03/31/2020,2484,2371
103 ST-CORONA,7,04/01/2020,2601,2241
103 ST-CORONA,7,04/02/2020,2438,2038
103 ST-CORONA,7,04/03/2020,2476,2005
103 ST-CORONA,7,04/04/2020,1620,1443
103 ST-CORONA,7,04/05/2020,1243,1182
103 ST-CORONA,7,04/06/2020,2282,2001
103 ST-CORONA,7,04/07/2020,2129,1923
103 ST-CORONA,7,04/08/2020,2042,1735
103 ST-CORONA,7,04/09/2020,1970,1694
103 ST-CORONA,7,04/10/2020,2045,1868
103 ST-CORONA,7,04/11/2020,1471,1344
103 ST-CORONA,7,04/12/2020,1202,1090
103 ST-CORONA,7,04/13/2020,1704,1712
103 ST-CORONA,7,04/14/2020,2204,2092
103 ST-CORONA,7,04/15/2020,2185,2083
103 ST-CORONA,7,04/16/2020,2185,1874
103 ST-CORONA,7,04/17/2020,2344,2204
103 ST-CORONA,7,12/28/2019,14003,9855
103 ST-CORONA,7,12/29/2019,10703,8161
103 ST-CORONA,7,12/30/2019,16794,11810
103 ST-CORONA,7,12/31/2019,16291,11105
104 ST,A,01/01/2020,449,203
104 ST,A,01/02/2020,1458,595
104 ST,A,01/03/2020,1440,578
104 ST,A,01/04/2020,633,250
104 ST,A,01/05/2020,517,221
104 ST,A,01/06/2020,1515,618
104 ST,A,01/07/2020,1554,647
104 ST,A,01/08/2020,1540,615
104 ST,A,01/09/2020,1499,645
104 ST,A,01/10/2020,1534,562
104 ST,A,01/11/2020,730,252
104 ST,A,01/12/2020,518,223
104 ST,A,01/13/2020,1554,613
104 ST,A,01/14/2020,1542,607
104 ST,A,01/15/2020,1534,629
104 ST,A,01/16/2020,1539,625
104 ST,A,01/17/2020,1524,590
104 ST,A,01/18/2020,619,262
104 ST,A,01/19/2020,452,205
104 ST,A,01/20/2020,935,361
104 ST,A,01/21/2020,803,662
104 ST,A,01/22/2020,1424,625
104 ST,A,01/23/2020,1446,590
104 ST,A,01/24/2020,1433,540
104 ST,A,01/25/2020,0,2
104 ST,A,01/26/2020,0,1
104 ST,A,01/27/2020,1519,601
104 ST,A,01/28/2020,1593,633
104 ST,A,01/29/2020,1606,624
104 ST,A,01/30/2020,1573,649
104 ST,A,01/31/2020,1551,595
104 ST,A,02/01/2020,692,276
104 ST,A,02/02/2020,492,199
104 ST,A,02/03/2020,1584,660
104 ST,A,02/04/2020,1587,668
104 ST,A,02/05/2020,1607,674
104 ST,A,02/06/2020,1581,667
104 ST,A,02/07/2020,1528,594
104 ST,A,02/08/2020,0,4
104 ST,A,02/09/2020,0,1
104 ST,A,02/10/2020,1530,634
104 ST,A,02/11/2020,1551,657
104 ST,A,02/12/2020,1546,643
104 ST,A,02/13/2020,1572,642
104 ST,A,02/14/2020,1525,580
104 ST,A,02/15/2020,646,290
104 ST,A,02/16/2020,467,231
104 ST,A,02/17/2020,879,338
104 ST,A,02/18/2020,1412,598
104 ST,A,02/19/2020,1521,592
104 ST,A,02/20/2020,1442,591
104 ST,A,02/21/2020,1383,563
104 ST,A,02/22/2020,680,288
104 ST,A,02/23/2020,453,215
104 ST,A,02/24/2020,1572,668
104 ST,A,02/25/2020,1629,644
104 ST,A,02/26/2020,1578,688
104 ST,A,02/27/2020,1593,736
104 ST,A,02/28/2020,1514,594
104 ST,A,02/29/2020,700,323
104 ST,A,03/01/2020,443,234
104 ST,A,03/02/2020,1555,653
104 ST,A,03/03/2020,1588,685
104 ST,A,03/04/2020,1594,644
104 ST,A,03/05/2020,1580,648
104 ST,A,03/06/2020,1479,602
104 ST,A,03/07/2020,602,226
104 ST,A,03/08/2020,364,134
104 ST,A,03/09/2020,1460,556
104 ST,A,03/10/2020,1430,510
104 ST,A,03/11/2020,1403,479
104 ST,A,03/12/2020,1280,504
104 ST,A,03/13/2020,1160,409
104 ST,A,03/14/2020,481,177
104 ST,A,03/15/2020,329,160
104 ST,A,03/16/2020,840,345
104 ST,A,03/17/2020,706,267
104 ST,A,03/18/2020,706,268
104 ST,A,03/19/2020,643,267
104 ST,A,03/20/2020,558,197
104 ST,A,03/21/2020,253,139
104 ST,A,03/22/2020,172,82
104 ST,A,03/23/2020,334,163
104 ST,A,03/24/2020,326,123
104 ST,A,03/25/2020,266,107
104 ST,A,03/26/2020,287,122
104 ST,A,03/27/2020,279,110
104 ST,A,03/28/2020,125,70
104 ST,A,03/29/2020,97,70
104 ST,A,03/30/2020,210,93
104 ST,A,03/31/2020,189,80
104 ST,A,04/01/2020,200,82
104 ST,A,04/02/2020,202,85
104 ST,A,04/03/2020,176,72
104 ST,A,04/04/2020,99,77
104 ST,A,04/05/2020,91,41
104 ST,A,04/06/2020,181,75
104 ST,A,04/07/2020,145,62
104 ST,A,04/08/2020,156,84
104 ST,A,04/09/2020,169,92
104 ST,A,04/10/2020,157,75
104 ST,A,04/11/2020,99,62
104 ST,A,04/12/2020,88,52
104 ST,A,04/13/2020,139,67
104 ST,A,04/14/2020,159,57
104 ST,A,04/15/2020,167,66
104 ST,A,04/16/2020,165,74
104 ST,A,04/17/2020,157,65
104 ST,A,12/28/2019,742,259
104 ST,A,12/29/2019,515,257
104 ST,A,12/30/2019,1246,515
104 ST,A,12/31/2019,1181,444
104 ST,JZ,01/01/2020,878,465
104 ST,JZ,01/02/2020,2368,1080
104 ST,JZ,01/03/2020,2480,1165
104 ST,JZ,01/04/2020,1196,533
104 ST,JZ,01/05/2020,933,500
104 ST,JZ,01/06/2020,2549,1206
