GEO_ID,NAME,DP03_0001E,DP03_0002PE,DP03_0007PE,DP03_0013PE,DP03_0015PE,DP03_0017PE,DP03_0021PE,DP03_0025E,DP03_0027PE,DP03_0028PE,DP03_0029PE,DP03_0031PE,DP03_0041PE,DP03_0042PE,DP03_0043PE,DP03_0045PE,DP03_0062E,DP03_0063E,DP03_0074PE,DP03_0088E,DP03_0092E,DP03_0093E,DP03_0094E,DP03_0096PE,DP03_0097PE,DP03_0098PE,DP03_0099E,DP03_0099PE,DP03_0108PE,DP03_0113PE,DP03_0118PE,tract_id
1400000US36047019000,"Census Tract 190, Kings County, New York",3816,62.9,37.1,49.4,30.2,68.3,60.6,45.6,33.1,28.7,21.1,8.4,9.0,27.3,17.1,2.1,44762,66189,19.5,21906,26071,40486,35139,88.3,43.9,48.7,543,11.7,13.6,36.4,9.0,019000
1400000US36047019100,"Census Tract 191, Kings County, New York",2301,78.6,21.4,75.4,72.8,64.9,63.3,36.1,68.5,13.9,14.6,1.6,28.4,19.5,12.4,2.7,94306,121981,4.9,48701,47450,60583,71034,95.7,78.2,25.6,120,4.3,4.3,25.6,9.5,019100
1400000US36047019200,"Census Tract 192, Kings County, New York",2159,61.1,38.9,52.9,63.0,56.6,51.2,40.7,30.5,30.1,16.5,15.0,5.7,31.8,15.4,1.8,41629,79634,33.7,20840,21986,33802,38750,90.1,38.6,57.4,304,9.9,13.3,20.5,13.9,019200
1400000US36047019300,"Census Tract 193, Kings County, New York",5119,47.8,52.2,38.0,52.5,65.1,49.6,30.9,52.0,14.5,18.4,8.6,17.3,26.2,6.1,4.7,54483,68707,12.6,28926,26512,65455,64022,95.8,76.0,35.8,253,4.2,9.5,4.2,3.1,019300
1400000US36047019400,"Census Tract 194, Kings County, New York",3210,64.6,35.4,56.8,56.1,62.9,61.4,42.7,15.6,32.2,20.7,18.2,8.4,23.3,17.1,3.4,45602,67070,18.0,20250,20348,26451,27215,87.2,40.3,50.2,499,12.8,16.4,51.4,17.7,019400
1400000US36047019500,"Census Tract 195, Kings County, New York",3398,77.3,22.7,77.6,95.4,65.4,66.2,38.2,62.4,12.8,19.4,2.5,17.5,25.5,18.1,4.7,90279,105249,3.6,51948,50484,58370,72375,93.1,83.7,18.5,262,6.9,8.1,0.0,12.4,019500
1400000US36047019600,"Census Tract 196, Kings County, New York",3081,60.0,40.0,43.0,26.1,56.3,51.0,44.6,30.5,29.6,15.4,15.5,11.2,26.7,8.0,1.3,42121,55238,22.5,21114,25682,37563,45833,87.2,34.7,60.0,490,12.8,20.0,16.3,23.5,019600
1400000US36047019700,"Census Tract 197, Kings County, New York",3098,71.3,28.7,62.7,79.8,88.4,78.6,40.0,78.0,9.2,8.5,4.0,21.2,26.1,11.6,6.5,96111,139889,9.8,66479,77067,86120,85341,96.0,79.5,21.7,144,4.0,4.9,11.7,6.7,019700
1400000US36047019800,"Census Tract 198, Kings County, New York",1430,56.6,43.4,50.5,29.3,71.5,54.8,45.9,42.0,21.6,13.1,16.2,12.9,33.1,9.4,3.9,61875,98666,27.6,34121,44083,50982,62143,98.5,60.1,49.0,26,1.5,2.7,0.0,2.3,019800
1400000US36047019900,"Census Tract 199, Kings County, New York",2966,79.9,20.1,75.8,96.9,77.1,76.7,37.4,68.4,9.2,19.4,1.3,28.6,20.9,7.6,2.6,90500,126429,11.4,58072,59773,60750,73378,95.1,82.1,16.8,171,4.9,5.6,17.6,0.0,019900
1400000US36047020000,"Census Tract 200, Kings County, New York",2007,57.1,42.9,51.0,86.4,71.2,41.8,44.4,28.9,23.8,21.6,13.8,5.7,25.9,11.6,0.7,60926,76730,15.5,24996,33165,41932,40714,89.6,54.5,47.2,252,10.4,16.1,7.7,18.5,020000
1400000US36047020100,"Census Tract 201, Kings County, New York",3246,83.2,16.8,73.1,96.8,70.5,67.8,36.7,65.4,14.2,18.6,1.5,24.3,22.0,8.9,6.1,111964,142072,2.1,64179,62361,81111,71500,93.6,86.0,15.1,245,6.4,5.4,21.1,19.3,020100
1400000US36047020200,"Census Tract 202, Kings County, New York",1532,60.6,39.4,56.2,75.7,80.0,30.6,37.6,43.2,17.8,28.8,7.2,8.6,37.6,8.5,5.6,94833,97998,9.7,32716,38417,78333,44167,97.0,66.4,38.1,58,3.0,4.8,0.0,7.2,020200
1400000US36047020300,"Census Tract 203, Kings County, New York",1553,75.9,24.1,70.0,64.0,74.8,66.9,37.9,65.2,16.0,12.6,4.5,19.5,28.7,7.6,3.5,107083,140062,8.4,53697,65774,99861,81250,94.7,78.1,23.0,96,5.3,6.7,28.1,0.0,020300
1400000US36047020400,"Census Tract 204, Kings County, New York",1807,62.8,37.2,56.8,71.6,63.7,35.7,42.1,35.7,22.8,31.4,7.3,6.0,26.4,9.3,9.9,89167,109579,11.3,36650,38646,71875,54313,92.5,60.4,47.1,158,7.5,6.9,31.5,14.7,020400
1400000US36047020500,"Census Tract 205, Kings County, New York",2483,84.2,15.8,85.6,86.3,90.9,66.2,37.7,63.7,12.3,16.9,2.1,20.2,25.7,11.9,0.7,95313,123322,0.5,59211,60074,80938,59482,97.5,81.8,23.1,73,2.5,3.1,17.7,0.0,020500
1400000US36047020600,"Census Tract 206, Kings County, New York",2054,63.0,37.0,57.6,84.7,85.5,45.3,43.3,46.4,17.5,21.0,9.9,9.5,24.8,9.3,3.2,96406,133875,8.7,47644,54669,73500,67917,93.6,73.6,32.1,155,6.4,8.8,0.0,4.6,020600
1400000US36047020700,"Census Tract 207, Kings County, New York",3822,74.9,25.1,70.0,80.6,60.2,63.1,34.8,74.1,13.4,10.0,1.4,32.3,20.9,8.6,3.4,108803,146250,9.7,68804,64366,73500,80345,92.9,81.8,22.2,322,7.1,8.1,0.0,0.0,020700
1400000US36047020800,"Census Tract 208, Kings County, New York",2657,59.4,40.6,49.5,43.6,58.7,53.3,46.8,35.3,19.2,23.5,11.8,9.8,24.5,10.8,2.1,59375,73483,25.0,23352,22780,46602,-,92.8,57.7,42.4,234,7.2,7.6,61.4,1.7,020800
1400000US36047021000,"Census Tract 210, Kings County, New York",3271,57.4,42.6,47.7,43.3,53.5,51.4,45.8,27.9,24.1,22.1,18.5,9.3,21.3,19.2,1.5,41293,64247,21.6,20824,22139,28977,40325,87.4,32.0,58.5,522,12.6,17.5,16.4,19.4,021000
1400000US36047021100,"Census Tract 211, Kings County, New York",1514,70.8,29.2,61.5,79.5,91.7,48.9,37.1,41.4,25.8,18.2,11.5,17.9,24.3,13.2,7.1,60257,81052,20.3,34398,37083,48542,46081,92.2,54.5,44.4,148,7.8,13.7,0.0,8.9,021100
1400000US36047021200,"Census Tract 212, Kings County, New York",3820,64.6,35.4,53.7,43.3,64.8,49.0,40.5,17.1,39.3,26.4,10.6,5.3,20.2,24.9,2.1,48633,69831,23.7,21342,21356,26516,53185,88.3,29.2,62.5,531,11.7,18.1,21.4,11.1,021200
