ca,stop_id
R185,110
R186,109
R188,108
R190,107
R192,106
R194,104
R196,103
R197,101
R200A,420
R201,420
R202,420
R203,419
R203A,419
R204,419
R204A,419
R205A,229
R206,229
R208,229
R210,640
R210A,640
R215,638
R216,638
R217A,637
R219,636
R220,636
R221,635
R226,634
R226A,634
R227,634
R227A,634
R228,633
R229,633
R230,633
R231,632
R231A,632
R232,632
R232A,632
R236,631
R237,631
R237B,631
R238,631
R238A,631
R240,631
R241A,631
R242,630
R242A,630
R243,630
R244,629
R244A,629
R245,629
R245A,629
R246,628
R247,627
R248,627
R249,626
R250,626
R251,625
R252,624
R253,623
R254,623
R256,622
R257,622
R258,621
R259,416
R260,222
R261,222
R262,414
R262A,414
R262B,414
R283,413
R284,412
R285,411
R286,410
R287,409
R288,408
R289,407
R290,406
R291,405
R293,402
R294,401
R301,227
R302,226
R303,226
R304,225
R305,225
R306,224
R307,224
R308,302
R309,301
R310,221
R311,221
R312,220
R314,219
R315,219
R316,218
R317,217
R318,217
R319,216
R320,216
R321,215
R322,215
R323,214
R325,213
R326,212
R327,211
R328,211
R329,210
R330,209
R331,208
R332,207
R333,206
R334,205
R335,204
R336,201
R401,619
R402,618
R403,618
R404,617
R405,617
R406,616
R407,616
R408,615
R409,615
R410,614
R411,614
R412,613
R413,612
R414,611
R415,610
R416,609
R417,608
R418,607
R419,606
R420,604
R421,603
R422,602
R423,601
R501,724
R503,721
R504,721
R506,721
R507,720
R508,719
R509,718
R510,R08
R511,R06
R512,R05
R513,R04
R514,R03
R515,R01
R516,716
R517,716
R518,715
R519,714
R520,714
R521,713
R523,712
R524,711
R525,710
R526,709
R527,708
R528,707
R529,706
R530,705
R532,702
R532H,702
R533,701
R534,701
R550,726
R600,231
R601A,232
R602,232
R604,232
R605,233
R606,233
R608,234
R609,234
R610,D24
R612,D24
R617,236
R618,236
R619,237
R621,238
R622,239
R623,248
R624,249
R625,250
R626,250
R627,251
R628,252
R629,253
R630,254
R632,255
R633,256
R634,257
R635,241
R636,242
R637,243
R639,244
R641,245
R643,246
R644,246
R645,247
R646,247
R647,247
R726,505
R727,504
R728,503
R729,502
R730,501
S101,S31
S101A,S31
S102,S30
TRAM1,NULL
TRAM2,NULL
