station_code,station,line_name,C/A,unit,GTFS_stop_id,station_name,station_id,lat,long
B028R136,SHEEPSHEAD BAY,BQ,B028,R136,D39,Sheepshead Bay,54,40.586896,-73.954155
B029R172,BRIGHTON BEACH,BQ,B029,R172,D40,Brighton Beach,55,40.577621,-73.961376
B031R172,BRIGHTON BEACH,BQ,B031,R172,D40,Brighton Beach,55,40.577621,-73.961376
B032R264,OCEAN PKWY,Q,B032,R264,D41,Ocean Pkwy,56,40.576312,-73.968501
B034R264,OCEAN PKWY,Q,B034,R264,D41,Ocean Pkwy,56,40.576312,-73.968501
C001R108,BOROUGH HALL,R2345,C001,R108,423,Borough Hall,415,40.692404,-73.990151
C003R089,JAY ST-METROTEC,R,C003,R089,R29,Jay St - MetroTech,25,40.69218,-73.985942
C004R089,JAY ST-METROTEC,R,C004,R089,R29,Jay St - MetroTech,25,40.69218,-73.985942
C008R099,DEKALB AV,BDNQR,C008,R099,R30,DeKalb Av,26,40.690635,-73.981824
C009R057,ATL AV-BARCLAY,BDNQR2345,C009,R057,D24,Atlantic Av - Barclays Ctr,40,40.68446,-73.97689
C010R231,UNION ST,R,C010,R231,R32,Union St,28,40.677316,-73.98311
C011R231,UNION ST,R,C011,R231,R32,Union St,28,40.677316,-73.98311
C012R258,4AV-9 ST,DFGMNR,C012,R258,R33,9 St,29,40.670847,-73.988302
C014R246,PROSPECT AV,R,C014,R246,R34,Prospect Av,30,40.665414,-73.992872
C015R246,PROSPECT AV,R,C015,R246,R34,Prospect Av,30,40.665414,-73.992872
C016R278,25 ST,R,C016,R278,R35,25 St,31,40.660397,-73.998091
C017R455,25 ST,R,C017,R455,R35,25 St,31,40.660397,-73.998091
C018R197,36 ST,DNR,C018,R197,R36,36 St,32,40.655144,-74.003549
C019R232,45 ST,R,C019,R232,R39,45 St,33,40.648939,-74.010006
C020R233,53 ST,R,C020,R233,R40,53 St,34,40.645069,-74.014034
C021R212,59 ST,NRW,C021,R212,R41,59 St,35,40.641362,-74.017881
C022R212,59 ST,NRW,C022,R212,R41,59 St,35,40.641362,-74.017881
C023R213,BAY RIDGE AV,R,C023,R213,R42,Bay Ridge Av,36,40.634967,-74.023377
C024R214,77 ST,R,C024,R214,R43,77 St,37,40.629742,-74.02551
C025R215,86 ST,R,C025,R215,R44,86 St,38,40.622687,-74.028398
C026R215,86 ST,R,C026,R215,R44,86 St,38,40.622687,-74.028398
C027R216,BAY RIDGE-95 ST,R,C027,R216,R45,Bay Ridge - 95 St,39,40.616622,-74.030876
C028R216,BAY RIDGE-95 ST,R,C028,R216,R45,Bay Ridge - 95 St,39,40.616622,-74.030876
D001R390,8 AV,N,D001,R390,N02,8 Av,71,40.635064,-74.011719
D002R390,8 AV,N,D002,R390,N02,8 Av,71,40.635064,-74.011719
D003R391,FT HAMILTON PKY,N,D003,R391,N03,Fort Hamilton Pkwy,72,40.631386,-74.005351
D004R391,FT HAMILTON PKY,N,D004,R391,N03,Fort Hamilton Pkwy,72,40.631386,-74.005351
D005R398,NEW UTRECHT AV,ND,D005,R398,N04,New Utrecht Av,73,40.624842,-73.996353
D006R398,NEW UTRECHT AV,ND,D006,R398,N04,New Utrecht Av,73,40.624842,-73.996353
D008R392,18 AV,N,D008,R392,N05,18 Av,74,40.620671,-73.990414
D009R393,20 AV,N,D009,R393,N06,20 Av,75,40.61741,-73.985026
D010R394,BAY PKWY,N,D010,R394,N07,Bay Pkwy,76,40.611815,-73.981848
D011R394,BAY PKWY,N,D011,R394,N07,Bay Pkwy,76,40.611815,-73.981848
D012R395,KINGS HWY,N,D012,R395,N08,Kings Hwy,77,40.603923,-73.980353
D015R396,AVENUE U,N,D015,R396,N09,Avenue U,78,40.597473,-73.979137
D016R397,86 ST,N,D016,R397,N10,86 St,79,40.592721,-73.97823
E001R368,9 AV,D,E001,R368,B12,9 Av,59,40.646292,-73.994324
E003R369,FT HAMILTON PKY,D,E003,R369,B13,Fort Hamilton Pkwy,60,40.640914,-73.994304
E004R234,50 ST,D,E004,R234,B14,50 St,61,40.63626,-73.994791
E005R247,55 ST,D,E005,R247,B15,55 St,62,40.631435,-73.995476
E009R370,71 ST,D,E009,R370,B17,71 St,64,40.619589,-73.998864
E011R371,79 ST,D,E011,R371,B18,79 St,65,40.613501,-74.00061
E012R372,18 AV,D,E012,R372,B19,18 Av,66,40.607954,-74.001736
E013R373,20 AV,D,E013,R373,B20,20 Av,67,40.604556,-73.998168
E014R374,BAY PKWY,D,E014,R374,B21,Bay Pkwy,68,40.601875,-73.993728
E015R399,25 AV,D,E015,R399,B22,25 Av,69,40.597704,-73.986829
E016R400,BAY 50 ST,D,E016,R400,B23,Bay 50 St,70,40.588841,-73.983765
G001R151,CONEY IS-STILLW,DFNQ,G001,R151,D43,Coney Island - Stillwell Av,58,40.577422,-73.981233
G009R151,CONEY IS-STILLW,DFNQ,G009,R151,D43,Coney Island - Stillwell Av,58,40.577422,-73.981233
G011R312,W 8 ST-AQUARIUM,FQ,G011,R312,D42,W 8 St - NY Aquarium,57,40.576127,-73.975939
G015R312,W 8 ST-AQUARIUM,FQ,G015,R312,D42,W 8 St - NY Aquarium,57,40.576127,-73.975939
H001R175,8 AV,ACEL,H001,R175,L01,8 Av,115,40.739777,-74.002578
H003R163,6 AV,FLM123,H003,R163,L02,6 Av,116,40.737335,-73.996786
H005R330,3 AV,L,H005,R330,L05,3 Av,118,40.732849,-73.986122
H006R330,3 AV,L,H006,R330,L05,3 Av,118,40.732849,-73.986122
H007AR248,1 AV,L,H007A,R248,L06,1 Av,119,40.730953,-73.981628
H007R248,1 AV,L,H007,R248,L06,1 Av,119,40.730953,-73.981628
H008R248,1 AV,L,H008,R248,L06,1 Av,119,40.730953,-73.981628
H009R235,BEDFORD AV,L,H009,R235,L08,Bedford Av,120,40.717304,-73.956872
H012R268,LORIMER ST,LG,H012,R268,L10,Lorimer St,121,40.714063,-73.950275
H013R249,GRAHAM AV,L,H013,R249,L11,Graham Av,122,40.714565,-73.944053
H014R249,GRAHAM AV,L,H014,R249,L11,Graham Av,122,40.714565,-73.944053
H015R250,GRAND ST,L,H015,R250,L12,Grand St,123,40.711926,-73.94067
H016R250,GRAND ST,L,H016,R250,L12,Grand St,123,40.711926,-73.94067
H017R265,MONTROSE AV,L,H017,R265,L13,Montrose Av,124,40.707739,-73.93985
H019R294,MORGAN AV,L,H019,R294,L14,Morgan Av,125,40.706152,-73.933147
H022R279,JEFFERSON ST,L,H022,R279,L15,Jefferson St,126,40.706607,-73.922913
H023R236,DEKALB AV,L,H023,R236,L16,DeKalb Av,127,40.703811,-73.918425
H026R137,MYRTLE-WYCKOFF,LM,H026,R137,L17,Myrtle - Wyckoff Avs,128,40.699814,-73.911586
H027R137,MYRTLE-WYCKOFF,LM,H027,R137,L17,Myrtle - Wyckoff Avs,128,40.699814,-73.911586
H028R266,HALSEY ST,L,H028,R266,L19,Halsey St,129,40.695602,-73.904084
H030R266,HALSEY ST,L,H030,R266,L19,Halsey St,129,40.695602,-73.904084
H032R295,WILSON AV,L,H032,R295,L20,Wilson Av,130,40.688764,-73.904046
H033R313,BUSHWICK AV,L,H033,R313,L21,Bushwick Av - Aberdeen St,131,40.682829,-73.905249
H035R348,ATLANTIC AV,L,H035,R348,L24,Atlantic Av,133,40.675345,-73.903097
H037R349,SUTTER AV,L,H037,R349,L25,Sutter Av,134,40.669367,-73.901975
H038R350,LIVONIA AV,L,H038,R350,L26,Livonia Av,135,40.664038,-73.900571
H039R375,NEW LOTS,L,H039,R375,L27,New Lots Av,136,40.658733,-73.899232
H040R376,EAST 105 ST,L,H040,R376,L28,E 105 St,137,40.650573,-73.899485
H041R152,CANARSIE-ROCKAW,L,H041,R152,L29,Canarsie - Rockaway Pkwy,138,40.646654,-73.90185
J001R460,MARCY AV,JMZ,J001,R460,M16,Marcy Av,101,40.708359,-73.957757
J002R460,MARCY AV,JMZ,J002,R460,M16,Marcy Av,101,40.708359,-73.957757
J003R352,HEWES ST,JM,J003,R352,M14,Hewes St,100,40.70687,-73.953431
J005R353,LORIMER ST,JM,J005,R353,M13,Lorimer St,99,40.703869,-73.947408
J007R377,FLUSHING AV,JM,J007,R377,M12,Flushing Av,98,40.70026,-73.941126
J009R378,MYRTLE AV,JMZ,J009,R378,M11,Myrtle Av,97,40.697207,-73.935657
J012R379,KOSCIUSZKO ST,J,J012,R379,J31,Kosciuszko St,96,40.693342,-73.928814
J013R380,GATES AV,JZ,J013,R380,J30,Gates Av,95,40.68963,-73.92227
J016R381,HALSEY ST,J,J016,R381,J29,Halsey St,94,40.68637,-73.916559
