station_code,station,GTFS_stop_id,C/A,line_name,NTACode,NTAName,geometry,lat,long,unit
A082R028,FULTON ST,A38,A082,ACJZ2345,MN25,Battery Park City-Lower Manhattan,POINT (-74.00769100000001 40.71019699999999),40.710196999999994,-74.00769100000001,R028
A083R125,BROAD ST,M23,A083,JZ,MN25,Battery Park City-Lower Manhattan,POINT (-74.01105600000001 40.706476),40.706476,-74.01105600000001,R125
A084R125,BROAD ST,M23,A084,JZ,MN25,Battery Park City-Lower Manhattan,POINT (-74.01105600000001 40.706476),40.706476,-74.01105600000001,R125
A085R125,BROAD ST,M23,A085,JZ,MN25,Battery Park City-Lower Manhattan,POINT (-74.01105600000001 40.706476),40.706476,-74.01105600000001,R125
B004R171,7 AV,D25,B004,BQ,BK64,Prospect Heights,POINT (-73.97236700000001 40.67705),40.67705,-73.972367,R171
B009R411,PARK PLACE,S03,B009,S,BK61,Crown Heights North,POINT (-73.957624 40.674772),40.674772,-73.957624,R411
B010R412,BOTANIC GARDEN,S04,B010,S2345,BK63,Crown Heights South,POINT (-73.959245 40.670343),40.670343,-73.959245,R412
B012R196,PROSPECT PARK,D26,B012,BQS,BK60,Prospect Lefferts Gardens-Wingate,POINT (-73.96224599999999 40.661614),40.661614,-73.962246,R196
B013R196,PROSPECT PARK,D26,B013,BQS,BK60,Prospect Lefferts Gardens-Wingate,POINT (-73.96224599999999 40.661614),40.661614,-73.962246,R196
B014R148,PARKSIDE AV,D27,B014,BQ,BK60,Prospect Lefferts Gardens-Wingate,POINT (-73.961495 40.655292),40.655291999999996,-73.961495,R148
B015R098,CHURCH AV,D28,B015,BQ,BK42,Flatbush,POINT (-73.962982 40.650527),40.650527000000004,-73.962982,R098
B016R098,CHURCH AV,D28,B016,BQ,BK42,Flatbush,POINT (-73.962982 40.650527),40.650527000000004,-73.962982,R098
B017R262,BEVERLEY ROAD,D29,B017,BQ,BK42,Flatbush,POINT (-73.96449200000001 40.644031),40.644031,-73.964492,R262
B018R184,CORTELYOU RD,D30,B018,BQ,BK42,Flatbush,POINT (-73.963891 40.640927),40.640927000000005,-73.963891,R184
B019R149,NEWKIRK PLAZA,D31,B019,BQ,BK42,Flatbush,POINT (-73.962793 40.635082),40.635082000000004,-73.962793,R149
B020R263,AVENUE H,D32,B020,BQ,BK43,Midwood,POINT (-73.96163900000001 40.62927),40.62927,-73.961639,R263
B021R228,AVENUE J,D33,B021,BQ,BK43,Midwood,POINT (-73.960803 40.625039),40.625039,-73.960803,R228
B022R229,AVENUE M,D34,B022,BQ,BK43,Midwood,POINT (-73.959399 40.617618),40.617618,-73.959399,R229
B023R211,KINGS HWY,D35,B023,BQ,BK44,Madison,POINT (-73.957734 40.60867),40.608670000000004,-73.957734,R211
B024AR211,KINGS HWY,D35,B024A,BQ,BK44,Madison,POINT (-73.957734 40.60867),40.608670000000004,-73.957734,R211
B024R211,KINGS HWY,D35,B024,BQ,BK44,Madison,POINT (-73.957734 40.60867),40.608670000000004,-73.957734,R211
B025R150,AVENUE U,D37,B025,BQ,BK44,Madison,POINT (-73.955929 40.5993),40.5993,-73.955929,R150
B026R230,NECK RD,D38,B026,BQ,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,POINT (-73.955161 40.595246),40.595246,-73.955161,R230
B027R136,SHEEPSHEAD BAY,D39,B027,BQ,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,POINT (-73.954155 40.586896),40.586896,-73.954155,R136
B028R136,SHEEPSHEAD BAY,D39,B028,BQ,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,POINT (-73.954155 40.586896),40.586896,-73.954155,R136
B029R172,BRIGHTON BEACH,D40,B029,BQ,BK19,Brighton Beach,POINT (-73.961376 40.577621),40.577621,-73.961376,R172
B031R172,BRIGHTON BEACH,D40,B031,BQ,BK19,Brighton Beach,POINT (-73.961376 40.577621),40.577621,-73.961376,R172
B032R264,OCEAN PKWY,D41,B032,Q,BK19,Brighton Beach,POINT (-73.968501 40.576312),40.576312,-73.968501,R264
B034R264,OCEAN PKWY,D41,B034,Q,BK19,Brighton Beach,POINT (-73.968501 40.576312),40.576312,-73.968501,R264
C001R108,BOROUGH HALL,423,C001,R2345,BK09,Brooklyn Heights-Cobble Hill,POINT (-73.990151 40.692404),40.692403999999996,-73.990151,R108
C003R089,JAY ST-METROTEC,R29,C003,R,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,POINT (-73.98594200000001 40.69218),40.69218,-73.98594200000001,R089
C004R089,JAY ST-METROTEC,R29,C004,R,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,POINT (-73.98594200000001 40.69218),40.69218,-73.98594200000001,R089
C008R099,DEKALB AV,R30,C008,BDNQR,BK68,Fort Greene,POINT (-73.981824 40.690635),40.690635,-73.981824,R099
C009R057,ATL AV-BARCLAY,D24,C009,BDNQR2345,BK68,Fort Greene,POINT (-73.97689 40.68445999999999),40.684459999999994,-73.97689,R057
C010R231,UNION ST,R32,C010,R,BK37,Park Slope-Gowanus,POINT (-73.98311 40.677316),40.677316,-73.98311,R231
C011R231,UNION ST,R32,C011,R,BK37,Park Slope-Gowanus,POINT (-73.98311 40.677316),40.677316,-73.98311,R231
C012R258,4AV-9 ST,R33,C012,DFGMNR,BK37,Park Slope-Gowanus,POINT (-73.988302 40.67084699999999),40.670846999999995,-73.988302,R258
C014R246,PROSPECT AV,R34,C014,R,BK37,Park Slope-Gowanus,POINT (-73.99287199999999 40.665414),40.665414,-73.99287199999999,R246
C015R246,PROSPECT AV,R34,C015,R,BK37,Park Slope-Gowanus,POINT (-73.99287199999999 40.665414),40.665414,-73.99287199999999,R246
C016R278,25 ST,R35,C016,R,BK32,Sunset Park West,POINT (-73.998091 40.660397),40.660396999999996,-73.998091,R278
C017R455,25 ST,R35,C017,R,BK32,Sunset Park West,POINT (-73.998091 40.660397),40.660396999999996,-73.998091,R455
C018R197,36 ST,R36,C018,DNR,BK32,Sunset Park West,POINT (-74.00354899999999 40.655144),40.655144,-74.00354899999999,R197
C019R232,45 ST,R39,C019,R,BK32,Sunset Park West,POINT (-74.010006 40.648939),40.648939,-74.010006,R232
C020R233,53 ST,R40,C020,R,BK32,Sunset Park West,POINT (-74.014034 40.645069),40.645069,-74.014034,R233
C021R212,59 ST,R41,C021,NRW,BK32,Sunset Park West,POINT (-74.017881 40.641362),40.641362,-74.017881,R212
C022R212,59 ST,R41,C022,NRW,BK32,Sunset Park West,POINT (-74.017881 40.641362),40.641362,-74.017881,R212
C023R213,BAY RIDGE AV,R42,C023,R,BK31,Bay Ridge,POINT (-74.023377 40.634967),40.634966999999996,-74.023377,R213
C024R214,77 ST,R43,C024,R,BK31,Bay Ridge,POINT (-74.02551 40.629742),40.629742,-74.02551,R214
C025R215,86 ST,R44,C025,R,BK31,Bay Ridge,POINT (-74.028398 40.622687),40.622687,-74.028398,R215
C026R215,86 ST,R44,C026,R,BK31,Bay Ridge,POINT (-74.028398 40.622687),40.622687,-74.028398,R215
C027R216,BAY RIDGE-95 ST,R45,C027,R,BK31,Bay Ridge,POINT (-74.03087600000001 40.616622),40.616622,-74.030876,R216
