WEEK,STATION,REMOTE,TOTAL
2020-05-23,SHEPHERD AVE-PITKIN AVE       ,R442,3739.0
2020-05-23,170TH STREET-GRAND CONC.      ,R443,8076.0
2020-05-23,238TH ST-WHITE PLAINS ROAD    ,R444,3255.0
2020-05-23,138TH STREET-3RD AVE          ,R445,11132.0
2020-05-23,BROOK AVENUE-138TH STREET     ,R446,8362.0
2020-05-23,CYPRESS AVENUE-138TH STREET   ,R447,4353.0
2020-05-23,EAST 143RD ST-SOUTHERN BLVD   ,R448,1420.0
2020-05-23,EAST 149TH ST-SOUTHERN BLVD   ,R449,6216.0
2020-05-23,LONGWOOD AVE-SOUTHERN BLVD    ,R450,3894.0
2020-05-23,WINTHROP ST-NOSTRAND AVE      ,R451,6572.0
2020-05-23,72ND STREET & BROADWAY        ,R452,20954.0
2020-05-23,23RD STREET-6TH AVENUE        ,R453,4189.0
2020-05-23,25TH STREET-4TH AVENUE        ,R455,737.0
2020-05-23,HOYT STREET-FULTON STREET     ,R456,1247.0
2020-05-23,MARCY AVENUE-BROADWAY         ,R460,10882.0
2020-05-23,BROADWAY LAFAYETTE-BLEECKER   ,R461,4953.0
2020-05-23,CANAL STREET-BROADWAY         ,R462,3941.0
