WEEK,STATION,REMOTE,TOTAL
2020-05-23,NEPTUNE AVE-MCDONALD AVENUE   ,R426,1005.0
2020-05-23,MIDDLETOWN ROAD-WESTCHESTER   ,R427,1652.0
2020-05-23,BUHRE AVE-WESTCHESTER AVE     ,R428,3467.0
2020-05-23,PELHAM BAY PARK-BRUCKNER BL   ,R429,6958.0
2020-05-23,PELHAM PKWY-ESPLANADE         ,R430,2337.0
2020-05-23,DYRE AVENUE-LIGHT STREET      ,R431,4666.0
2020-05-23,CHAUNCEY STREET-ROCKAWAY AV   ,R432,3488.0
2020-05-23,ALABAMA AVENUE-FULTON ST      ,R433,3063.0
2020-05-23,VAN SICLEN AVENUE-FULTON ST   ,R434,3908.0
2020-05-23,CLEVELAND STREET-FULTON ST    ,R435,3985.0
2020-05-23,NORWOOD AVENUE-FULTON ST      ,R436,4121.0
2020-05-23,CRESCENT STREET-FULTON ST     ,R437,6100.0
2020-05-23,RALPH AVENUE-FULTON STREET    ,R438,5673.0
2020-05-23,ROCKAWAY AVE-HOPKINSON AVE    ,R439,5626.0
2020-05-23,LIBERTY AVE-PENNSYLVANIA AV   ,R440,3121.0
2020-05-23,VAN SICLEN AVE-PITKIN AVE     ,R441,3678.0
